Name,Week,Score Projected,Score Actual,Bench Projected,Bench Actual,QB Projected,QB Actual,RB1 Projected,RB1 Actual,RB2 Projected,RB2 Actual,WR1 Projected,WR1 Actual,WR2 Projected,WR2 Actual,TE Projected,TE Actual,FLEX Projected,FLEX Actual,D Projected,D Actual,K Projected,K Actual,Win
Didi,1,126.6,108.48,100.5,100.3,23.4,24.28,17.7,16.5,15.7,13.7,17.4,5.5,13.8,4.7,9.9,14.9,14.2,13.9,6.2,2,8.2,13,0
Luk,1,132.6,131.56,86.8,80.72,22,29.36,17.3,14.5,17.6,13.1,15.1,13.4,16.1,10.1,13.6,12.5,14.9,11.6,7.8,16,8.2,1,1
Derek,1,126.3,105.32,62.5,73.32,18.3,18.32,19.7,24.4,15.7,14,17.2,8.5,17,0,11.8,12.7,14.7,19.4,3.9,-7,8,15,1
Unit,1,111.6,87.12,63.4,47.36,16.5,8.72,17.5,12,0,0,20.2,14.8,15,8,15.3,15.3,12.9,9.3,5.9,8,8.3,11,0
Skyler,1,122,122.02,77.3,82.6,19.8,26.02,18,12.8,15.3,14.4,19,18,12,25.2,11.3,4.5,14.7,8.1,3.9,11,7.9,2,0
Birdy,1,127.7,123.96,88.7,105.8,20.8,38.76,15.4,17.9,14.3,11.1,16.8,23.1,15.5,6.3,11.3,6.7,19,12.1,6.5,5,8.2,3,1
Fraus,1,93,81.42,59.7,63.2,20,8.82,17.7,23.2,0.7,0,12.3,3.5,13,14.8,15,12.1,0.2,0,5.3,14,8.7,5,0
Sierra,1,105.6,86.9,57.8,38.7,15.3,10.9,18.4,15,15,5.4,13.5,8.6,10.6,9.3,7.6,12.5,10.7,16.2,5.9,2,8.5,7,1
Elijah,1,128.5,68.84,89.8,104.52,18.5,6.84,15.7,13.9,14.6,21.2,19.8,4.6,16.3,9,11.9,1.5,16.6,1.8,6.9,4,8.1,6,0
Zander,1,128.3,127.98,80.3,70.22,19,22.58,20.9,18.4,16.1,29.2,16,13.5,14.5,9.1,11.3,13.9,13.5,12.3,8.3,1,8.6,8,1
Unit,2,111.6,75.38,62.9,53.7,16.9,14.98,17.3,7.4,0,0,19.7,11.1,14.1,16.9,15.9,8.8,13.6,5.2,5.8,5,8.3,6,0
Didi,2,127.3,131.04,92.3,89.7,20.7,11.54,18.7,26.2,15,16,16.9,14.2,14.2,12.8,10.8,11.9,14.8,17.4,7.4,9,8.8,12,1
Skyler,2,122.9,110.28,78.3,102.38,19.4,22.08,15.6,29.5,16.4,12.2,18.8,20.2,12.5,5.6,11.2,2.2,15.7,3.5,5.1,6,8.3,9,0
Derek,2,130.6,148.6,61,40.92,19.2,14,18.1,19.8,18.3,14.4,16.9,39.2,14.4,18.3,12.3,10.1,15.4,5.8,7.8,15,8.2,12,1
Birdy,2,124.2,129.92,93.7,106.9,21.8,11.82,15.6,18.7,13.6,16.9,19.7,27.6,14.1,14.9,10.5,8,13.5,16,7.3,12,8.1,4,1
Fraus,2,87.4,88.54,27.7,43.18,0,7.04,21.8,22.7,0.7,0,13.2,9.2,11.8,17.8,15.6,13.8,9.6,16,6.3,1,8.3,1,0
Luk,2,124,102.3,74.1,27.58,22.8,26.3,15.9,18.1,17.9,8.5,14.2,9.8,14.1,10.6,9.7,1.9,13.6,9.1,7.5,-5,8.4,23,0
Elijah,2,126.6,119.24,82,60.08,16.6,20.24,18.2,10,15.4,26.5,19.9,36.5,16.7,8.9,9.2,1.4,15.8,7.7,6.9,5,7.9,3,1
Sierra,2,106.4,121.16,57.9,58.82,15.3,33.96,18.1,19.4,14.2,9.1,13.9,9.6,11.3,15.2,9,6.7,10.3,10.2,5.6,8,8.5,9,1
Zander,2,125.5,102.94,72.9,78.7,16.8,22.14,18.5,17.4,17.9,2.3,15.4,5.9,15.1,22.6,11.1,5.6,14.7,11,7.6,4,8.3,12,0